LSOA_code,all,G1,G2,G3,G4
E01000831,1325,727,339,177,82
E01000832,1186,606,353,167,60
E01000833,1069,564,298,162,45
E01000834,988,493,270,177,48
E01000835,1315,594,361,290,70
E01000836,1034,567,284,148,35
E01000837,1159,533,310,244,72
E01000838,1122,537,334,193,58
E01000839,1108,607,297,148,56
E01000840,1265,614,370,186,95
E01000841,1335,647,382,229,77
E01000842,1155,756,232,109,58
E01000843,956,688,152,65,51
E01000844,1237,833,232,105,67
E01000845,1129,743,216,96,74
E01000846,1000,404,201,243,152
E01000847,1092,523,228,190,151
E01000848,1171,836,181,85,69
E01000849,1113,739,208,124,42
E01000850,911,619,147,96,49
E01000851,755,475,142,84,54
E01000853,1028,355,214,268,191
E01000855,972,581,157,138,96
E01000856,1128,515,207,244,162
E01000857,1064,631,220,125,88
E01000858,1396,556,247,371,222
E01000859,1132,764,208,95,65
E01000860,887,465,189,138,95
E01000861,1067,510,236,217,104
E01000862,1289,900,242,86,61
E01000863,1046,635,175,138,98
E01000866,1451,750,290,231,180
E01000867,1233,539,224,263,207
E01000868,1196,459,231,328,178
E01000869,1419,792,281,211,135
E01000870,1233,644,232,221,136
E01000871,1211,732,228,130,121
E01000872,1365,616,263,341,145
E01000873,1210,823,208,112,67
E01000874,1116,778,190,77,71
E01000875,1269,658,260,236,115
E01000876,1451,692,251,313,195
E01000877,1129,721,187,144,77
E01000878,1259,747,264,97,151
E01000879,986,677,184,69,56
E01000880,1033,723,177,76,57
E01000881,1010,650,159,124,77
E01000882,1085,800,179,71,35
E01000883,1159,805,178,94,82
E01000884,1046,677,228,72,69
E01000885,960,607,225,65,63
E01000886,1056,646,220,137,53
E01000887,1098,673,209,130,86
E01000888,1094,645,201,152,96
E01000889,1286,408,290,339,249
E01000890,962,230,188,338,206
E01000891,1058,372,230,265,191
E01000892,1351,793,227,191,140
E01000893,1089,810,175,60,44
E01000894,958,689,182,47,40
E01000895,1220,773,207,132,108
E01000896,1118,850,182,46,40
E01000897,1116,822,203,57,34
E01000898,1290,742,250,170,128
E01000899,1203,834,230,84,55
E01000900,1277,611,252,248,166
E01000901,1268,429,256,355,228
E01000902,992,366,195,259,172
E01000903,1082,638,189,134,121
E01000904,1524,666,285,347,226
E01000905,1272,389,258,382,243
E01000906,1153,770,218,89,76
E01000907,1090,478,193,272,147
